Protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Fasta.headers	Number.of.proteins	Peptides	Razor...unique.peptides	Unique.peptides	Peptides.t1.1	Peptides.t1.2	Peptides.t1.3	Peptides.t1.4	Peptides.t2.1	Peptides.t2.2	Peptides.t2.3	Peptides.t2.4	Razor...unique.peptides.t1.1	Razor...unique.peptides.t1.2	Razor...unique.peptides.t1.3	Razor...unique.peptides.t1.4	Razor...unique.peptides.t2.1	Razor...unique.peptides.t2.2	Razor...unique.peptides.t2.3	Razor...unique.peptides.t2.4	Unique.peptides.t1.1	Unique.peptides.t1.2	Unique.peptides.t1.3	Unique.peptides.t1.4	Unique.peptides.t2.1	Unique.peptides.t2.2	Unique.peptides.t2.3	Unique.peptides.t2.4	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Sequence.length	Sequence.lengths	Q.value	Score	Identification.type.t1.1	Identification.type.t1.2	Identification.type.t1.3	Identification.type.t1.4	Identification.type.t2.1	Identification.type.t2.2	Identification.type.t2.3	Identification.type.t2.4	Sequence.coverage.t1.1....	Sequence.coverage.t1.2....	Sequence.coverage.t1.3....	Sequence.coverage.t1.4....	Sequence.coverage.t2.1....	Sequence.coverage.t2.2....	Sequence.coverage.t2.3....	Sequence.coverage.t2.4....	Intensity	Intensity.t1.1	Intensity.t1.2	Intensity.t1.3	Intensity.t1.4	Intensity.t2.1	Intensity.t2.2	Intensity.t2.3	Intensity.t2.4	LFQ.intensity.t1.1	LFQ.intensity.t1.2	LFQ.intensity.t1.3	LFQ.intensity.t1.4	LFQ.intensity.t2.1	LFQ.intensity.t2.2	LFQ.intensity.t2.3	LFQ.intensity.t2.4	MS.MS.Count.t1.1	MS.MS.Count.t1.2	MS.MS.Count.t1.3	MS.MS.Count.t1.4	MS.MS.Count.t2.1	MS.MS.Count.t2.2	MS.MS.Count.t2.3	MS.MS.Count.t2.4	MS.MS.Count	Only.identified.by.site	Reverse	Potential.contaminant	id	Peptide.IDs	Peptide.is.razor	Mod..peptide.IDs	Evidence.IDs	MS.MS.IDs	Best.MS.MS	Carbamidomethyl..C..site.IDs	Oxidation..M..site.IDs	Carbamidomethyl..C..site.positions	Oxidation..M..site.positions
sp|Q80W54|FACE1_MOUSE	1	1	1		1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	74.237	665	665	0.0093821	2.7779			By MS/MS	By MS/MS					0	0	0	0	0	0	0	0	76781000	0	0	26397000	50384000	0	0	0	0	0	0	0	25192000	0	0	0	0	0	0	1	1	0	0	0	0	2		+	NA	10	4126	TRUE	4215	26792;26793;26794;26795	37522;37523	37523				
sp|Q9QZ88|VPS29_MOUSE	1	1	1		1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	40.908	358	358	0.0040296	3.182					By matching	By MS/MS	By matching	By MS/MS	0	0	0	0	0	0	0	0	83067000	0	0	0	0	7796700	37891000	10054000	27325000	0	0	0	0	0	0	0	13662000	0	0	0	0	0	1	0	1	2		+	NA	11	16155	TRUE	16566	105098;105099;105100;105101;105102;105103	142772;142773	142773				
sp|Q99JW5|EPCAM_MOUSE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	15.846	135	135	0.0056124	2.985	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	375330000	5125900	5686800	3035100	6633800	84214000	56608000	171220000	42808000	0	0	0	0	0	0	0	42808000	0	0	0	0	2	2	3	2	9		+	NA	12	16283	TRUE	16698	106025;106026;106027;106028;106029;106030;106031;106032	144497;144498;144499;144500;144501;144502;144503;144504;144505	144503				
sp|Q61704|ITIH3_MOUSE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	64.802	570	570	0.0087605	2.8001	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	1211100000	127190000	0	60972000	0	210470000	323270000	190790000	298380000	0	0	0	0	0	0	0	149190000	4	1	5	2	2	2	3	4	23		+	NA	13	17431	TRUE	17876	113611;113612;113613;113614;113615;113616;113617;113618;113619;113620;113621;113622;113623;113624;113625	155141;155142;155143;155144;155145;155146;155147;155148;155149;155150;155151;155152;155153;155154;155155;155156;155157;155158;155159;155160;155161;155162;155163;155164	155157				
sp|Q924Z4|CERS2_MOUSE	2;1;1	2;1;1	2;1;1	;;	3	2	2	2	2	2	2	2	0	0	0	0	2	2	2	2	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	125.81	1134	1134;833;862	0.0013879	3.605	By MS/MS	By MS/MS	By MS/MS	By MS/MS					0	0	0	0	0	0	0	0	178770000	34936000	43944000	37028000	62866000	0	0	0	0	23659000	25004000	25350000	33254000	0	0	0	0	2	2	1	2	0	0	0	0	7		+	NA	14	10098;11508	True;True	10319;11757	66175;66176;66177;66178;66179;66180;66181;66182;74903;74904;74905;74906;74907	91633;91634;91635;91636;91637;91638;103043	91638;103043				
sp|P62774|MTPN_MOUSE	1	1	1		1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	102.76	926	926	0.0059289	2.9761	By MS/MS				By matching	By matching			0	0	0	0	0	0	0	0	14285000	11865000	0	0	0	879360	1540600	0	0	0	0	0	0	0	1540600	0	0	1	0	0	0	0	0	0	0	1		+	NA	15	7651	TRUE	7818	49839;49840;49841;49842	69792	69792				
sp|P17742|PPIA_MOUSE;xx|PPIA_HUMAN|	1	1	1		1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	187.74	1682	1682	1	-2	By MS/MS	By matching	By matching	By matching		By matching			0	0	0	0	0	0	0	0	115590000	25869000	19692000	11001000	40280000	0	18748000	0	0	0	0	0	0	0	18748000	0	0	1	0	0	0	0	0	0	0	1	+	+	NA	16	3177	TRUE	3241	20723;20724;20725;20726;20727;20728	29754	29754		1		581
sp|Q8VHG2|AMOT_MOUSE	1	1	1		1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	96.727	926	926	0.0090615	2.7855	By MS/MS	By MS/MS	By MS/MS	By MS/MS					0	0	0	0	0	0	0	0	23999000	4465100	7543600	3717000	8273400	0	0	0	0	0	0	0	4136700	0	0	0	0	2	2	1	2	0	0	0	0	7		+	NA	17	16459	TRUE	16878	107099;107100;107101;107102;107103;107104;107105;107106	145768;145769;145770;145771;145772;145773;145774	145773				
sp|Q91YT0|NDUV1_MOUSE	1	1	1		1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	127.35	1136	1136	1	-2					By matching	By MS/MS	By MS/MS	By matching	0	0	0	0	0	0	0	0	209120000	0	0	0	0	34067000	38191000	121400000	15465000	0	0	0	0	0	0	0	15465000	0	0	0	0	0	1	2	0	3	+	+	NA	18	17346	TRUE	17790	113084;113085;113086;113087;113088;113089	154528;154529;154530	154529		2		87
sp|O70200|AIF1_MOUSE	3	3	3		1	3	3	3	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	0	0	0	70.012	631	631	0.00038008	5.052	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	193610000	1483800	521670	958910	3814400	64473000	31721000	44288000	46349000	1483800	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	7		+	NA	19	856;2053;9483	True;True;True	876;2092;9695	5511;5512;5513;5514;5515;13368;62418;62419;62420;62421;62422;62423;62424;62425	7448;19090;86439;86440;86441;86442;86443	7448;19090;86441				
sp|Q922F4|TBB6_MOUSE	2	2	2		1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	0	0	0	289.07	2472	2472	0.00073584	4.4499	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	1010200000	27553000	30620000	51210000	96763000	239190000	212060000	201690000	151080000	0	0	0	0	0	0	201690000	0	2	3	3	3	3	1	4	2	21		+	NA	20	366;9944	True;True	375;10164	2370;2371;2372;2373;2374;2375;2376;2377;2378;2379;65210	3171;3172;3173;3174;3175;3176;3177;3178;3179;3180;3181;3182;3183;3184;3185;3186;3187;3188;3189;3190;90380	3185;90380				
sp|Q8K4X7|PLCD_MOUSE	2	2	2		1	2	2	2	2	1	2	1	1	0	1	1	2	1	2	1	1	0	1	1	2	1	2	1	1	0	1	1	0	0	0	114.33	1021	1021	0.0036938	3.1908	By matching	By matching	By matching	By MS/MS	By MS/MS		By matching	By matching	0	0	0	0	0	0	0	0	41756000	2216500	2473400	3314100	10735000	13365000	0	4576500	5075700	0	0	3314100	0	0	0	0	0	0	0	0	1	2	0	0	0	3		+	NA	21	5156;9276	True;True	5273;9482	33322;33323;33324;33325;33326;61097;61098;61099;61100;61101;61102	46299;84882;84883	46299;84882				
sp|Q9DBG7|SRPRA_MOUSE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	37.516	349	349	0.0049983	3.0847	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	0	0	0	0	0	0	0	0	241810000	42444000	49370000	27770000	53722000	21054000	24221000	10658000	12566000	0	0	0	0	0	0	0	12566000	1	2	2	2	1	0	1	0	9		+	NA	22	17367	TRUE	17811	113237;113238;113239;113240;113241;113242;113243;113244;113245;113246;113247;113248;113249;113250	154706;154707;154708;154709;154710;154711;154712;154713;154714;154715	154710				
sp|Q8BWY7|S39AB_MOUSE	2	2	2		1	2	2	2	1	1	0	1	0	2	1	1	1	1	0	1	0	2	1	1	1	1	0	1	0	2	1	1	0	0	0	83.981	736	736	0.0053103	3.0474	By matching	By matching		By matching		By MS/MS	By matching	By MS/MS	0	0	0	0	0	0	0	0	93925000	937680	934360	0	1572000	0	40374000	26599000	23508000	0	0	0	0	0	20187000	0	0	0	0	0	0	0	2	0	1	3		+	NA	23	4159;19399	True;True	4248;19896	26971;26972;26973;26974;26975;126499;126500;126501;126502;126503	37700;37701;172622	37700;172622				
sp|Q9D0J8|PTMS_MOUSE	2	2	2		1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	0	0	0	1009.9	8799	8799	0.0030323	3.2417	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	0	0	0	0	0	0	0	0	69489000	6508100	6906000	9063700	15036000	5211400	14345000	4220300	8198500	0	0	0	15036000	0	0	0	0	0	0	0	1	0	1	0	1	3		+	NA	24	1703;8411	True;True	1736;8604	10979;10980;10981;10982;10983;10984;10985;10986;10987;10988;55271	15290;15291;77405	15290;77405				
sp|Q5RKZ7|MOCS1_MOUSE	1	1	1		1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	88.471	790	790	0.0096931	2.7705					By matching	By MS/MS	By matching	By MS/MS	0	0	0	0	0	0	0	0	14728000	0	0	0	0	818000	7902800	576480	5430900	0	0	0	0	0	0	0	5430900	0	0	0	0	0	1	0	0	1		+	NA	25	18062	TRUE	18525	118067;118068;118069;118070;118071	161294;161295;161296	161294				
sp|O35598|ADA10_MOUSE	2	2	2		1	2	2	2	2	1	1	1	0	2	1	1	2	1	1	1	0	2	1	1	2	1	1	1	0	2	1	1	0	0	0	409.76	3658	3658	0.0062459	2.952	By MS/MS	By matching	By matching	By matching		By MS/MS	By matching	By MS/MS	0	0	0	0	0	0	0	0	69843000	10896000	8966100	9484300	17362000	0	16086000	2589600	4460000	4353800	0	0	0	0	13566000	0	0	1	0	0	0	0	1	0	1	3		+	NA	26	1702;10722	True;True	1735;10956	10974;10975;10976;10977;10978;69987;69988;69989;69990;69991;69992;69993	15288;15289;96754	15288;96754				
sp|P62073|TIM10_MOUSE	1	1	1		1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	71.283	649	649	1	-2	By matching	By matching	By matching	By MS/MS					0	0	0	0	0	0	0	0	11845000	2558100	3642900	1919800	3724600	0	0	0	0	0	0	0	3724600	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	NA	27	3529	TRUE	3603	22977;22978;22979;22980	32882	32882		3;4		460;461
sp|P70398|USP9X_MOUSE	2	2	2		1	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	0	1	1	0	2	2	2	2	0	1	1	0	0	0	0	134.24	1191	1191	0.0068785	2.9099	By MS/MS	By matching	By MS/MS	By matching		By matching	By matching		0	0	0	0	0	0	0	0	52547000	9875300	6930500	18806000	14794000	0	1525200	615770	0	8920600	0	8935100	0	0	0	0	0	1	0	1	0	0	0	0	0	2		+	NA	28	3645;10898	True;True	3722;11140	23741;23742;23743;23744;23745;23746;23747;71100;71101;71102;71103;71104	33807;98158	33807;98158				
sp|Q3TIX9|SNUT2_MOUSE	1	1	1		1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	82.657	742	742	0.0026972	3.2493					By MS/MS	By MS/MS		By MS/MS	0	0	0	0	0	0	0	0	358520000	0	0	0	0	98476000	151850000	0	108190000	0	0	0	0	0	0	0	54097000	0	0	0	0	3	2	0	3	8		+	NA	29	8156	TRUE	8343	53394;53395;53396;53397;53398;53399	74927;74928;74929;74930;74931;74932;74933;74934	74929				
sp|Q8VDD9|PHIP_MOUSE	1	1	1		1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	53.721	477	477	0.0081433	2.847	By MS/MS	By MS/MS	By MS/MS	By MS/MS					0	0	0	0	0	0	0	0	79112000	14202000	19199000	17818000	27892000	0	0	0	0	0	0	0	13946000	0	0	0	0	1	1	1	1	0	0	0	0	4		+	NA	30	11172	TRUE	11414	72761;72762;72763;72764;72765;72766;72767;72768	100165;100166;100167;100168	100168				
sp|Q8CEC0|NUP88_MOUSE	1	1	1		1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	48.64	418	418	0.0023689	3.2975					By MS/MS	By matching	By MS/MS	By matching	0	0	0	0	0	0	0	0	82888000	0	0	0	0	31471000	10274000	34248000	6894800	0	0	0	0	0	0	0	6894800	0	0	0	0	1	0	1	0	2		+	NA	31	13588	TRUE	13955	88741;88742;88743;88744;88745;88746	121518;121519	121518				
sp|Q9WTU0|PHF2_MOUSE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	50.466	445	445	0.0071895	2.8888	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	4335200000	73774000	66787000	69050000	52219000	892820000	1290100000	1004200000	886270000	20827000	0	19358000	16249000	462980000	662700000	504040000	456780000	2	2	2	2	8	9	9	8	42		+	NA	32	8702	TRUE	8902	57176;57177;57178;57179;57180;57181;57182;57183;57184;57185;57186;57187;57188;57189;57190;57191;57192;57193;57194;57195;57196;57197;57198;57199;57200;57201;57202	79919;79920;79921;79922;79923;79924;79925;79926;79927;79928;79929;79930;79931;79932;79933;79934;79935;79936;79937;79938;79939;79940;79941;79942;79943;79944;79945;79946;79947;79948;79949;79950;79951;79952;79953;79954;79955;79956;79957;79958;79959;79960	79937				
REV__sp|Q8C190|VP9D1_MOUSE	1	1	1		1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	25.061	223	223	0.0065703	2.9381			By MS/MS			By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	126710000	0	0	24085000	0	0	37214000	28482000	36928000	0	0	0	0	0	0	0	18464000	0	0	1	0	0	2	1	2	6		+	NA	33	8035	TRUE	8215	52538;52539;52540;52541;52542;52543;52544	73697;73698;73699;73700;73701;73702	73702				
sp|Q9CSH3|RRP44_MOUSE	2	2	2		1	2	2	2	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	0	0	0	62.577	554	554	0.0046698	3.0951	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	0	0	0	0	61581000	2557100	14154000	11853000	22688000	1999700	3377100	2412800	2539300	0	0	11853000	0	0	0	0	0	0	1	1	1	0	0	0	0	3		+	NA	34	12659;14583	True;True	12997;14972	82700;82701;95049;95050;95051;95052;95053;95054;95055;95056;95057	113700;113701;129059	113700;129059				
sp|Q62252|SP17_MOUSE	10	10	10		1	10	10	10	0	0	0	0	8	10	8	9	0	0	0	0	8	10	8	9	0	0	0	0	8	10	8	9	22.4	22.4	22.4	114.98	1074	1074	0	62.429					By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	20.3	22.4	18.8	19.9	160860000	0	0	0	0	27570000	54761000	32901000	45633000	0	0	0	0	34696000	47234000	34640000	44295000	0	0	0	0	4	13	6	11	34			NA	35	1124;1379;4130;4361;4536;5544;9555;12090;16624;18306	True;True;True;True;True;True;True;True;True;True	1153;1409;4219;4457;4639;5670;9769;12403;17048;18781	7313;7314;7315;8910;8911;8912;8913;26810;26811;26812;28275;28276;28277;28278;29415;29416;29417;29418;35773;35774;35775;35776;62856;62857;62858;62859;78862;78863;78864;78865;108125;108126;119624;119625;119626	10505;10506;12590;12591;37541;39419;39420;39421;39422;39423;39424;39425;39426;41039;41040;49577;49578;49579;49580;49581;49582;87098;87099;108155;108156;108157;108158;147056;147057;163377;163378;163379;163380;163381;163382;163383	10505;12591;37541;39426;41039;49581;87098;108156;147056;163380				
sp|G5E8A8|TEKT5_MOUSE	3	3	3		1	3	3	3	2	2	2	2	0	1	2	1	2	2	2	2	0	1	2	1	2	2	2	2	0	1	2	1	6.2	6.2	6.2	134.16	1177	1177	0	5.5072	By matching	By matching	By MS/MS	By MS/MS		By matching	By MS/MS	By matching	5.2	5.2	5.2	5.2	0	2.5	3.6	2.5	61827000	7001400	7904200	11393000	30314000	0	1852300	1196600	2165400	0	0	11535000	30172000	0	0	0	0	0	0	1	1	0	0	1	0	3			NA	36	8787;9999;10549	True;True;True	8988;10220;10775	57757;65539;65540;65541;65542;68918;68919;68920;68921;68922;68923;68924	80536;90809;95434	80536;90809;95434		5		1055
